Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.004302,4.485667705535889,0.189730,197.56759985105447,0.031176,32.5,0.225208
0.004321,4.485667705535889,0.190554,197.92579696412014,0.031311,32.5,0.226187
0.004340,4.485667705535889,0.191382,198.58999425168693,0.031447,32.5,0.227168
0.004358,4.485667705535889,0.192208,198.2937218502721,0.031582,32.5,0.228149
0.004377,4.485667705535889,0.193039,198.0457978047397,0.031719,32.5,0.229135
0.004396,4.485667705535889,0.193865,198.18028753307232,0.031854,32.5,0.230115
0.004415,4.485667705535889,0.194676,194.7753281717994,0.031989,32.5,0.231081
0.004433,4.485667705535889,0.195503,198.29792624652964,0.032125,32.5,0.232061
0.004452,4.485667705535889,0.196328,198.04009248297507,0.032260,32.5,0.233040
0.004471,4.485667705535889,0.197151,197.58969634979545,0.032396,32.5,0.234017
0.004489,4.485667705535889,0.197978,198.62941011085186,0.032531,32.5,0.234999
0.004508,4.485667705535889,0.198801,197.526233528847,0.032667,32.5,0.235976
0.004527,4.485667705535889,0.199632,198.71114346554515,0.032802,32.5,0.236962
0.004545,4.485667705535889,0.200460,198.5771112881079,0.032938,32.5,0.237943
0.004564,4.485667705535889,0.201276,195.9970852228734,0.033073,32.5,0.238914
0.004583,4.485667705535889,0.202101,197.99287540154444,0.033209,32.5,0.239893
0.004602,4.485667705535889,0.202933,198.80231216424278,0.033345,32.5,0.240879
0.004620,4.485667705535889,0.203768,199.20233452758026,0.033481,32.5,0.241869
0.004639,4.485667705535889,0.204595,198.55232250024608,0.033616,32.5,0.242850
0.004658,4.485667705535889,0.205423,198.67753472276547,0.033752,32.5,0.243832
0.004677,4.485667705535889,0.206254,198.39968431912442,0.033888,32.5,0.244818
0.004695,4.485667705535889,0.207081,198.62807488642719,0.034023,32.5,0.245800
0.004714,4.485667705535889,0.207895,195.20321260897904,0.034159,32.5,0.246767
0.004733,4.485667705535889,0.208719,197.39542111553163,0.034294,32.5,0.247746
0.004751,4.485667705535889,0.209543,197.9026139919175,0.034430,32.5,0.248724
0.004770,4.485667705535889,0.210368,197.7926866548339,0.034565,32.5,0.249703
0.004789,4.485667705535889,0.211193,198.10265990077968,0.034701,32.5,0.250683
0.004807,4.485667705535889,0.212019,198.13785093952234,0.034836,32.5,0.251662
0.004826,4.485667705535889,0.212851,198.73092114778063,0.034972,32.5,0.252650
0.004845,4.485667705535889,0.213680,198.87222935978232,0.035108,32.5,0.253632
0.004864,4.485667705535889,0.214492,195.03851708680975,0.035243,32.5,0.254599
0.004882,4.485667705535889,0.215322,199.11030746445846,0.035379,32.5,0.255583
0.004901,4.485667705535889,0.216149,198.56700035104168,0.035514,32.5,0.256564
0.004920,4.485667705535889,0.216977,198.7297250850085,0.035649,32.5,0.257546
0.004938,4.485667705535889,0.217803,198.11945229208152,0.035785,32.5,0.258526
0.004957,4.485667705535889,0.218627,197.80693355464305,0.035920,32.5,0.259504
0.004976,4.485667705535889,0.219452,198.18732283971826,0.036056,32.5,0.260484
0.004994,4.485667705535889,0.220282,198.7526696343254,0.036191,32.5,0.261467
0.005013,4.485667705535889,0.221096,195.43349660272327,0.036327,32.5,0.262436
0.005032,4.485667705535889,0.221927,198.83657268245182,0.036463,32.5,0.263422
0.005051,4.485667705535889,0.222753,198.0890268356992,0.036598,32.5,0.264401
0.005069,4.485667705535889,0.223578,198.09469407501763,0.036734,32.5,0.265381
0.005088,4.485667705535889,0.224402,197.8830329085493,0.036869,32.5,0.266359
0.005107,4.485667705535889,0.225227,197.9721639379298,0.037004,32.5,0.267338
0.005125,4.485667705535889,0.226054,198.5225190516726,0.037140,32.5,0.268319
0.005144,4.485667705535889,0.226879,197.91620211730532,0.037275,32.5,0.269298
0.005163,4.485667705535889,0.227691,194.96675534211732,0.037411,32.5,0.270264
0.005181,4.485667705535889,0.228518,198.5930430606233,0.037546,32.5,0.271246
0.005200,4.485667705535889,0.229347,198.88325420523418,0.037681,32.5,0.272228
0.005219,4.485667705535889,0.230172,198.03809594285735,0.037817,32.5,0.273208
0.005237,4.485667705535889,0.230999,198.5931264853729,0.037952,32.5,0.274189
0.005256,4.485667705535889,0.231826,198.2963792047877,0.038088,32.5,0.275170
0.005275,4.485667705535889,0.232658,199.19006540993212,0.038223,32.5,0.276156
0.005294,4.485667705535889,0.233473,195.60286583640163,0.038359,32.5,0.277126
0.005312,4.485667705535889,0.234298,197.94255980322532,0.038494,32.5,0.278105
0.005331,4.485667705535889,0.235125,198.53787588996207,0.038630,32.5,0.279086
0.005350,4.485667705535889,0.235951,198.31295236809746,0.038765,32.5,0.280066
0.005368,4.485667705535889,0.236783,198.22171558178712,0.038902,32.5,0.281053
0.005387,4.485667705535889,0.237608,198.0860910576645,0.039037,32.5,0.282032
0.005406,4.485667705535889,0.238438,198.78868313554656,0.039173,32.5,0.283016
0.005425,4.485667705535889,0.239267,199.01029670400834,0.039308,32.5,0.283999
0.005443,4.485667705535889,0.240081,195.5711684267584,0.039443,32.5,0.284968
0.005462,4.485667705535889,0.240907,197.57208914722705,0.039579,32.5,0.285949
0.005481,4.485667705535889,0.241739,198.9463510419084,0.039715,32.5,0.286935
0.005499,4.485667705535889,0.242565,198.26751991679066,0.039851,32.5,0.287915
0.005518,4.485667705535889,0.243390,197.81869082425965,0.039986,32.5,0.288894
0.005537,4.485667705535889,0.244221,198.40969949561693,0.040122,32.5,0.289880
0.005556,4.485667705535889,0.245046,198.07635589675994,0.040258,32.5,0.290860
0.005574,4.485667705535889,0.245873,198.54317635008175,0.040393,32.5,0.291841
0.005593,4.485667705535889,0.246692,195.56897346712873,0.040529,32.5,0.292814
0.005612,4.485667705535889,0.247521,198.9288270037368,0.040665,32.5,0.293797
0.005631,4.485667705535889,0.248349,198.02627693556374,0.040800,32.5,0.294780
0.005649,4.485667705535889,0.249178,197.67712562714425,0.040937,32.5,0.295765
0.005668,4.485667705535889,0.250002,197.65953109956558,0.041072,32.5,0.296742
0.005687,4.485667705535889,0.250833,199.53182006908457,0.041208,32.5,0.297728
